[28/Jul/2016 19:35:33 ] settings     INFO     Welcome to Hue 3.7.0
[28/Jul/2016 19:35:34 +0800] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
[28/Jul/2016 19:35:34 +0800] models       INFO     HuePermissions: 0 added, 0 updated, 25 up to date, 0 stale
